,has_company_logo,Salary_range_provided,department_mentioned,employment_type,required_experience,required_education,industry,fraudulent
0,1,0,0,0.0,1.0,10.0,0.0550122249388753,0.0
1,1,0,0,4.0,0.0,2.0,0.0550122249388753,0.0
2,1,0,1,4.0,2.0,2.0,0.023255813953488372,0.0
3,1,0,0,2.0,3.0,7.0,0.017241379310344827,0.0
4,1,0,0,4.0,0.0,2.0,0.0550122249388753,0.0
5,0,0,0,4.0,0.0,10.0,0.0550122249388753,0.0
6,1,1,1,4.0,3.0,10.0,0.10144927536231885,0.0
7,0,0,0,3.0,2.0,10.0,0.0,0.0
8,1,0,0,4.0,3.0,10.0,0.07142857142857142,0.0
9,1,1,1,4.0,0.0,10.0,0.0550122249388753,0.0
10,1,0,0,4.0,4.0,2.0,0.018702513150204558,0.0
11,1,0,0,0.0,1.0,10.0,0.0550122249388753,0.0
12,1,0,1,4.0,3.0,10.0,0.10144927536231885,0.0
13,1,0,0,4.0,0.0,8.0,0.10144927536231885,0.0
14,1,0,0,4.0,3.0,10.0,0.003671071953010279,0.0
15,0,0,0,3.0,2.0,11.0,0.3776223776223776,0.0
16,1,0,0,4.0,3.0,11.0,0.014492753623188406,0.0
17,1,0,1,4.0,4.0,10.0,0.018702513150204558,0.0
18,1,0,0,4.0,2.0,2.0,0.0550122249388753,1.0
19,1,0,0,4.0,5.0,10.0,0.047244094488188976,0.0
20,1,1,0,4.0,2.0,2.0,0.049586776859504134,0.0
21,1,0,0,3.0,2.0,10.0,0.0,0.0
22,1,0,1,0.0,1.0,10.0,0.0550122249388753,0.0
23,0,0,0,4.0,2.0,10.0,0.003671071953010279,0.0
24,1,0,1,4.0,4.0,10.0,0.018702513150204558,0.0
25,1,0,0,4.0,0.0,2.0,0.058823529411764705,0.0
26,0,0,0,4.0,3.0,2.0,0.3776223776223776,1.0
27,1,0,1,4.0,2.0,10.0,0.019736842105263157,0.0
28,1,0,1,4.0,0.0,2.0,0.12195121951219512,0.0
29,0,0,0,4.0,2.0,10.0,0.08571428571428572,0.0
30,1,0,0,4.0,3.0,10.0,0.003671071953010279,0.0
31,1,0,1,4.0,4.0,10.0,0.003671071953010279,0.0
32,1,0,0,4.0,5.0,10.0,0.0550122249388753,0.0
33,1,0,1,3.0,3.0,0.0,0.003671071953010279,0.0
34,1,0,0,4.0,2.0,2.0,0.04679144385026738,0.0
35,1,0,1,4.0,3.0,10.0,0.0550122249388753,1.0
36,1,0,0,3.0,2.0,3.0,0.0,0.0
37,1,0,0,4.0,2.0,0.0,0.048639127222462185,0.0
38,1,0,1,4.0,4.0,2.0,0.13855421686746988,0.0
39,1,0,1,4.0,3.0,2.0,0.3776223776223776,0.0
40,1,0,1,1.0,3.0,0.0,0.015625,0.0
41,0,0,0,2.0,2.0,2.0,0.023255813953488372,0.0
42,0,0,0,3.0,2.0,10.0,0.0,1.0
43,1,0,0,4.0,2.0,2.0,0.06896551724137931,0.0
44,1,1,0,0.0,1.0,10.0,0.0550122249388753,0.0
45,1,1,1,4.0,0.0,0.0,0.042735042735042736,0.0
46,1,0,0,4.0,3.0,10.0,0.018702513150204558,0.0
47,0,0,0,4.0,4.0,10.0,0.0,0.0
48,1,0,0,4.0,0.0,2.0,0.03333333333333333,0.0
49,1,0,1,4.0,4.0,0.0,0.018702513150204558,0.0
50,1,0,1,4.0,3.0,10.0,0.06896551724137931,0.0
51,0,0,0,4.0,3.0,2.0,0.3776223776223776,1.0
52,1,0,1,4.0,4.0,0.0,0.0550122249388753,0.0
53,1,0,1,4.0,3.0,10.0,0.018702513150204558,0.0
54,1,0,1,0.0,1.0,10.0,0.0550122249388753,0.0
55,0,0,0,4.0,0.0,10.0,0.0550122249388753,0.0
56,1,0,0,3.0,2.0,10.0,0.0,0.0
